14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
6744,location 1042,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
6657,location 122,-event_type 35 - event_type 34 - ,-feature 312 - feature 315 - feature 313 - feature 232 - feature 233 - ,-2 - 2 - 3 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
2724,location 1092,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
7385,location 1017,-event_type 11 - ,-feature 170 - ,-5 - ,-resource_type 8 - ,-severity_type 1 - ,2
15355,location 27,-event_type 10 - ,-feature 153 - ,-2 - ,-resource_type 3 - ,-severity_type 5 - ,1
15705,location 242,-event_type 35 - event_type 34 - ,-feature 309 - feature 229 - feature 232 - feature 314 - feature 234 - feature 312 - ,-28 - 27 - 35 - 52 - 49 - 33 - ,-resource_type 2 - ,-severity_type 2 - ,0
17573,location 1042,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - ,-24 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,2
338,location 847,-event_type 54 - ,-feature 362 - feature 360 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,1
16821,location 242,-event_type 35 - event_type 34 - ,-feature 314 - feature 229 - feature 309 - feature 234 - ,-1 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
13259,location 244,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-20 - 26 - ,-resource_type 2 - ,-severity_type 2 - ,0
120,location 462,-event_type 35 - event_type 20 - ,-feature 301 - feature 219 - feature 134 - ,-3 - 1 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
8074,location 471,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-4 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
13171,location 818,-event_type 11 - ,-feature 54 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - ,1
17229,location 871,-event_type 20 - ,-feature 134 - feature 219 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
15252,location 810,-event_type 15 - event_type 11 - ,-feature 71 - feature 193 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
10229,location 839,-event_type 11 - ,-feature 170 - feature 54 - ,-14 - 14 - ,-resource_type 8 - ,-severity_type 4 - ,0
11582,location 424,-event_type 34 - event_type 35 - ,-feature 312 - feature 307 - feature 232 - feature 227 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
14922,location 230,-event_type 11 - event_type 20 - ,-feature 160 - feature 134 - ,-1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
17599,location 794,-event_type 14 - event_type 23 - event_type 11 - ,-feature 223 - feature 47 - feature 163 - ,-2 - 1 - 1 - ,-resource_type 8 - resource_type 4 - resource_type 7 - ,-severity_type 1 - ,1
12524,location 721,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
13984,location 684,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 10 - ,-resource_type 8 - ,-severity_type 2 - ,1
11499,location 894,-event_type 42 - event_type 43 - event_type 44 - ,-feature 283 - feature 368 - feature 291 - feature 375 - feature 376 - feature 290 - ,-2 - 5 - 3 - 4 - 5 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
14731,location 744,-event_type 11 - event_type 13 - ,-feature 170 - feature 273 - feature 345 - feature 54 - ,-3 - 7 - 6 - 5 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
3104,location 704,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-17 - 22 - ,-resource_type 8 - ,-severity_type 1 - ,0
4634,location 157,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-12 - 14 - ,-resource_type 2 - ,-severity_type 2 - ,0
3257,location 523,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
11411,location 936,-event_type 13 - event_type 11 - ,-feature 273 - feature 54 - ,-1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
7861,location 1048,-event_type 11 - ,-feature 170 - feature 54 - feature 103 - ,-55 - 320 - 79 - ,-resource_type 8 - ,-severity_type 1 - ,0
4308,location 914,-event_type 11 - ,-feature 53 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
1457,location 127,-event_type 35 - event_type 34 - ,-feature 307 - feature 232 - feature 315 - feature 313 - feature 312 - feature 233 - feature 235 - ,-4 - 9 - 4 - 10 - 9 - 10 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
11435,location 723,-event_type 11 - ,-feature 170 - feature 68 - feature 54 - ,-3 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
7685,location 494,-event_type 35 - event_type 34 - ,-feature 313 - feature 232 - feature 312 - feature 235 - feature 233 - feature 315 - ,-70 - 127 - 110 - 13 - 72 - 31 - ,-resource_type 2 - ,-severity_type 2 - ,0
13986,location 891,-event_type 11 - ,-feature 195 - feature 73 - ,-8 - 28 - ,-resource_type 8 - ,-severity_type 1 - ,0
9089,location 122,-event_type 35 - event_type 34 - ,-feature 233 - feature 235 - feature 232 - feature 313 - feature 315 - feature 312 - ,-6 - 3 - 2 - 8 - 2 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
17426,location 488,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
5495,location 478,-event_type 34 - event_type 35 - ,-feature 233 - feature 232 - feature 313 - feature 312 - ,-6 - 9 - 7 - 9 - ,-resource_type 2 - ,-severity_type 2 - ,0
2354,location 686,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
9581,location 155,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-5 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
12393,location 691,-event_type 23 - event_type 11 - event_type 22 - ,-feature 75 - feature 222 - feature 197 - feature 306 - ,-4 - 1 - 2 - 3 - ,-resource_type 7 - resource_type 8 - ,-severity_type 2 - ,1
1495,location 734,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - feature 82 - feature 172 - ,-1 - 7 - 6 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
1530,location 1052,-event_type 15 - ,-feature 80 - feature 82 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,0
7794,location 918,-event_type 11 - ,-feature 209 - feature 204 - feature 170 - feature 207 - feature 182 - feature 155 - ,-2 - 2 - 6 - 1 - 1 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
17672,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-18 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,0
17077,location 627,-event_type 11 - event_type 22 - event_type 23 - ,-feature 222 - feature 75 - feature 306 - feature 197 - feature 305 - ,-1 - 18 - 13 - 2 - 2 - ,-resource_type 8 - resource_type 7 - ,-severity_type 2 - ,1
3248,location 130,-event_type 35 - event_type 20 - ,-feature 134 - feature 301 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
5887,location 672,-event_type 11 - ,-feature 55 - feature 171 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
5255,location 599,-event_type 15 - ,-feature 52 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
4876,location 891,-event_type 11 - ,-feature 73 - ,-4 - ,-resource_type 8 - ,-severity_type 2 - ,0
2925,location 755,-event_type 11 - ,-feature 45 - feature 161 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
6800,location 769,-event_type 11 - ,-feature 54 - feature 170 - ,-12 - 12 - ,-resource_type 8 - ,-severity_type 1 - ,2
2375,location 1069,-event_type 11 - ,-feature 170 - feature 207 - feature 86 - feature 54 - ,-19 - 1 - 1 - 19 - ,-resource_type 8 - ,-severity_type 1 - ,1
12402,location 579,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
13544,location 476,-event_type 34 - event_type 35 - ,-feature 232 - feature 229 - feature 312 - feature 309 - feature 234 - feature 314 - ,-4 - 13 - 4 - 17 - 22 - 31 - ,-resource_type 2 - ,-severity_type 2 - ,0
364,location 148,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
11845,location 845,-event_type 15 - event_type 11 - event_type 20 - ,-feature 82 - feature 203 - feature 134 - feature 219 - ,-5 - 6 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,2
8351,location 707,-event_type 26 - event_type 15 - ,-feature 71 - feature 276 - feature 349 - ,-4 - 1 - 1 - ,-resource_type 9 - resource_type 8 - ,-severity_type 2 - ,0
284,location 797,-event_type 11 - ,-feature 170 - feature 54 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
2956,location 657,-event_type 18 - event_type 11 - ,-feature 170 - feature 257 - feature 179 - feature 54 - feature 68 - feature 335 - ,-13 - 2 - 5 - 9 - 7 - 2 - ,-resource_type 8 - resource_type 10 - ,-severity_type 1 - ,0
6289,location 976,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,0
8918,location 32,-event_type 30 - event_type 29 - ,-feature 133 - feature 132 - ,-1 - 1 - ,-resource_type 9 - ,-severity_type 1 - ,0
12473,location 1019,-event_type 15 - ,-feature 82 - feature 80 - feature 203 - feature 68 - ,-21 - 4 - 18 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,2
4314,location 549,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
4598,location 1100,-event_type 11 - event_type 15 - ,-feature 82 - feature 193 - feature 203 - feature 71 - ,-33 - 1 - 12 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,2
12944,location 1010,-event_type 11 - ,-feature 195 - feature 73 - ,-1 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,0
10272,location 1075,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 9 - ,-resource_type 8 - ,-severity_type 2 - ,0
6689,location 102,-event_type 34 - event_type 35 - ,-feature 230 - feature 233 - feature 232 - feature 308 - feature 315 - feature 313 - feature 312 - feature 229 - feature 228 - feature 310 - feature 309 - feature 235 - ,-5 - 1 - 3 - 5 - 16 - 1 - 4 - 1 - 5 - 5 - 1 - 17 - ,-resource_type 2 - ,-severity_type 2 - ,0
6116,location 353,-event_type 34 - event_type 36 - event_type 11 - ,-feature 117 - feature 181 - feature 29 - feature 227 - feature 232 - feature 237 - ,-2 - 2 - 1 - 2 - 2 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
17973,location 794,-event_type 23 - event_type 11 - ,-feature 47 - feature 163 - feature 306 - ,-3 - 3 - 1 - ,-resource_type 8 - resource_type 7 - ,-severity_type 1 - ,0
17041,location 1,-event_type 11 - event_type 7 - event_type 15 - ,-feature 111 - feature 201 - feature 80 - ,-2 - 3 - 7 - ,-resource_type 8 - resource_type 1 - ,-severity_type 1 - ,1
11119,location 1008,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
10897,location 895,-event_type 43 - event_type 44 - event_type 42 - ,-feature 376 - feature 283 - feature 291 - feature 375 - feature 368 - ,-5 - 4 - 3 - 5 - 5 - ,-resource_type 2 - ,-severity_type 1 - ,2
11661,location 707,-event_type 15 - event_type 26 - ,-feature 71 - feature 276 - ,-3 - 1 - ,-resource_type 9 - resource_type 8 - ,-severity_type 2 - ,0
13443,location 1049,-event_type 11 - ,-feature 195 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
5895,location 95,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 307 - feature 227 - feature 232 - feature 233 - ,-15 - 1 - 24 - 9 - 15 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9488,location 823,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - ,-5 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
13,location 418,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14355,location 836,-event_type 11 - ,-feature 195 - feature 73 - ,-9 - 11 - ,-resource_type 8 - ,-severity_type 1 - ,0
2607,location 638,-event_type 42 - event_type 44 - ,-feature 368 - feature 376 - feature 283 - feature 291 - ,-7 - 7 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
5509,location 837,-event_type 11 - ,-feature 68 - feature 170 - feature 54 - ,-2 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
5985,location 300,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 233 - feature 313 - feature 227 - feature 307 - ,-23 - 24 - 13 - 18 - 1 - 15 - ,-resource_type 2 - ,-severity_type 2 - ,0
5818,location 839,-event_type 11 - ,-feature 54 - feature 170 - ,-7 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,1
11919,location 783,-event_type 20 - ,-feature 219 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
11051,location 984,-event_type 13 - event_type 11 - event_type 14 - ,-feature 179 - feature 170 - feature 68 - feature 273 - ,-1 - 1 - 2 - 1 - ,-resource_type 8 - resource_type 4 - resource_type 6 - ,-severity_type 1 - ,1
8034,location 573,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
14319,location 410,-event_type 34 - event_type 35 - ,-feature 315 - feature 312 - feature 232 - feature 313 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14284,location 147,-event_type 35 - ,-feature 312 - ,-3 - ,-resource_type 2 - ,-severity_type 4 - ,0
18050,location 1008,-event_type 15 - ,-feature 80 - feature 201 - feature 82 - ,-2 - 1 - 10 - ,-resource_type 8 - ,-severity_type 2 - ,1
9358,location 124,-event_type 34 - ,-feature 233 - feature 235 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9078,location 1042,-event_type 15 - ,-feature 82 - feature 203 - ,-8 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,2
8409,location 497,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
4139,location 469,-event_type 35 - event_type 34 - ,-feature 230 - feature 309 - feature 228 - feature 311 - feature 232 - feature 314 - feature 312 - feature 234 - feature 229 - feature 307 - ,-2 - 16 - 2 - 2 - 12 - 16 - 20 - 16 - 17 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
7980,location 845,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
13713,location 350,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
7606,location 1090,-event_type 11 - ,-feature 81 - feature 202 - ,-2 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,1
9726,location 459,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - feature 227 - feature 307 - ,-3 - 3 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9824,location 615,-event_type 11 - event_type 20 - ,-feature 134 - feature 219 - feature 55 - ,-1 - 1 - 2 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
9645,location 314,-event_type 34 - event_type 35 - ,-feature 312 - feature 233 - feature 307 - feature 232 - feature 313 - ,-1 - 1 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
10464,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-10 - 53 - ,-resource_type 8 - ,-severity_type 1 - ,0
7660,location 938,-event_type 11 - event_type 54 - ,-feature 360 - feature 362 - feature 81 - feature 49 - ,-2 - 2 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 2 - ,0
1996,location 808,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
11557,location 742,-event_type 54 - ,-feature 360 - feature 362 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,1
6169,location 655,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - ,-2 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
13495,location 881,-event_type 11 - event_type 13 - ,-feature 68 - feature 273 - ,-2 - 2 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
4863,location 613,-event_type 54 - event_type 15 - ,-feature 82 - ,-8 - ,-resource_type 8 - ,-severity_type 1 - ,0
6350,location 255,-event_type 35 - event_type 20 - ,-feature 219 - feature 134 - feature 301 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
7263,location 286,-event_type 35 - ,-feature 312 - feature 307 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
10593,location 102,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - feature 230 - feature 313 - feature 309 - feature 308 - feature 228 - feature 314 - feature 307 - feature 229 - feature 233 - feature 232 - feature 310 - feature 312 - ,-2 - 2 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 1 - 4 - 1 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
16214,location 474,-event_type 35 - event_type 34 - ,-feature 235 - feature 315 - feature 233 - feature 313 - ,-1 - 3 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
1671,location 738,-event_type 15 - ,-feature 193 - feature 71 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
6106,location 497,-event_type 34 - event_type 35 - ,-feature 308 - feature 310 - feature 311 - feature 230 - feature 232 - feature 312 - feature 314 - feature 231 - feature 234 - feature 229 - feature 309 - feature 236 - feature 233 - feature 228 - feature 316 - feature 313 - feature 315 - ,-21 - 2 - 3 - 4 - 54 - 25 - 7 - 2 - 17 - 24 - 8 - 1 - 31 - 38 - 1 - 30 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
14737,location 798,-event_type 15 - ,-feature 203 - feature 82 - ,-26 - 38 - ,-resource_type 8 - ,-severity_type 2 - ,2
13254,location 919,-event_type 11 - ,-feature 81 - feature 202 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,1
12743,location 734,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - feature 203 - feature 82 - feature 80 - ,-2 - 1 - 14 - 16 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
9866,location 496,-event_type 35 - event_type 34 - ,-feature 233 - feature 234 - feature 232 - feature 227 - feature 314 - feature 313 - feature 307 - feature 315 - feature 309 - feature 312 - ,-61 - 22 - 137 - 5 - 17 - 55 - 6 - 2 - 1 - 127 - ,-resource_type 2 - ,-severity_type 2 - ,0
8816,location 962,-event_type 15 - ,-feature 80 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
12568,location 110,-event_type 35 - ,-feature 301 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
3340,location 344,-event_type 35 - ,-feature 312 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
14095,location 382,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
10882,location 704,-event_type 15 - ,-feature 82 - feature 203 - feature 80 - feature 201 - ,-38 - 7 - 2 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
15185,location 470,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 312 - feature 233 - ,-2 - 2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
13594,location 128,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 315 - ,-1 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
8654,location 684,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 6 - ,-resource_type 8 - ,-severity_type 2 - ,1
12478,location 102,-event_type 34 - event_type 35 - ,-feature 228 - feature 227 - feature 235 - feature 233 - feature 230 - feature 232 - feature 312 - ,-2 - 1 - 1 - 1 - 2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
6317,location 600,-event_type 15 - ,-feature 82 - feature 71 - feature 203 - ,-3 - 1 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,1
16170,location 465,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-8 - 8 - ,-resource_type 2 - ,-severity_type 2 - ,0
1401,location 989,-event_type 11 - ,-feature 54 - ,-4 - ,-resource_type 8 - ,-severity_type 1 - ,1
5614,location 737,-event_type 11 - ,-feature 157 - feature 42 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
4052,location 885,-event_type 11 - ,-feature 81 - feature 202 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,2
18380,location 484,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
18191,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-24 - 32 - ,-resource_type 8 - ,-severity_type 2 - ,2
17776,location 557,-event_type 54 - ,-feature 359 - feature 361 - ,-6 - 6 - ,-resource_type 2 - ,-severity_type 1 - ,0
17625,location 976,-event_type 15 - ,-feature 82 - ,-12 - ,-resource_type 8 - ,-severity_type 2 - ,0
14989,location 469,-event_type 34 - event_type 35 - ,-feature 315 - feature 232 - feature 312 - feature 233 - feature 235 - feature 313 - ,-8 - 52 - 63 - 2 - 3 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
9808,location 1100,-event_type 11 - event_type 15 - ,-feature 82 - feature 71 - feature 203 - feature 193 - ,-48 - 3 - 24 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,2
11698,location 744,-event_type 11 - event_type 13 - ,-feature 345 - feature 179 - feature 68 - feature 273 - feature 54 - feature 170 - ,-2 - 2 - 5 - 8 - 7 - 7 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,0
8390,location 998,-event_type 11 - ,-feature 68 - feature 54 - feature 170 - ,-1 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
17836,location 255,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
1625,location 788,-event_type 23 - ,-feature 306 - ,-1 - ,-resource_type 7 - ,-severity_type 4 - ,0
10841,location 1053,-event_type 11 - event_type 15 - ,-feature 80 - feature 201 - ,-8 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,1
1258,location 757,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
15242,location 181,-event_type 35 - event_type 34 - ,-feature 312 - feature 227 - feature 233 - feature 313 - feature 232 - feature 307 - ,-5 - 1 - 2 - 2 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
18254,location 468,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
11477,location 496,-event_type 35 - event_type 34 - ,-feature 229 - feature 233 - feature 309 - feature 307 - feature 232 - feature 312 - feature 314 - feature 313 - ,-1 - 61 - 1 - 3 - 166 - 159 - 3 - 60 - ,-resource_type 2 - ,-severity_type 2 - ,0
2141,location 957,-event_type 11 - ,-feature 81 - feature 202 - ,-7 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,1
17110,location 856,-event_type 13 - event_type 11 - ,-feature 68 - feature 345 - feature 273 - ,-2 - 1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
18115,location 641,-event_type 44 - event_type 42 - ,-feature 283 - feature 291 - feature 368 - feature 376 - ,-10 - 10 - 20 - 20 - ,-resource_type 2 - ,-severity_type 1 - ,2
306,location 895,-event_type 44 - event_type 43 - event_type 42 - ,-feature 291 - feature 283 - feature 290 - feature 375 - feature 368 - feature 376 - ,-4 - 5 - 4 - 19 - 21 - 21 - ,-resource_type 2 - ,-severity_type 1 - ,1
7882,location 823,-event_type 11 - ,-feature 196 - feature 74 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
2057,location 126,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - feature 227 - feature 235 - feature 315 - feature 233 - feature 313 - feature 307 - ,-8 - 8 - 1 - 5 - 4 - 13 - 12 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
3299,location 381,-event_type 34 - event_type 35 - event_type 20 - ,-feature 219 - feature 232 - feature 134 - feature 301 - feature 312 - ,-6 - 1 - 6 - 6 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
13128,location 268,-event_type 35 - ,-feature 301 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
15439,location 810,-event_type 15 - event_type 54 - ,-feature 203 - feature 82 - ,-4 - 8 - ,-resource_type 8 - ,-severity_type 1 - ,2
1310,location 836,-event_type 11 - ,-feature 195 - feature 73 - ,-7 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
929,location 476,-event_type 34 - event_type 35 - ,-feature 307 - feature 312 - feature 232 - feature 227 - ,-1 - 4 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
4750,location 1107,-event_type 15 - event_type 11 - ,-feature 71 - feature 82 - feature 193 - feature 203 - ,-14 - 141 - 4 - 66 - ,-resource_type 8 - ,-severity_type 1 - ,2
15558,location 618,-event_type 40 - ,-feature 10 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
12107,location 690,-event_type 11 - ,-feature 81 - feature 202 - ,-6 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,0
15547,location 794,-event_type 14 - event_type 11 - ,-feature 47 - ,-1 - ,-resource_type 4 - resource_type 8 - ,-severity_type 1 - ,0
430,location 1100,-event_type 15 - event_type 11 - ,-feature 71 - feature 82 - feature 203 - ,-2 - 42 - 13 - ,-resource_type 8 - ,-severity_type 1 - ,1
12605,location 149,-event_type 34 - event_type 35 - ,-feature 227 - feature 307 - feature 235 - feature 232 - feature 313 - feature 312 - feature 233 - ,-1 - 1 - 1 - 4 - 2 - 4 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
943,location 252,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
17288,location 116,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-4 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
13955,location 1008,-event_type 15 - event_type 11 - ,-feature 80 - feature 203 - feature 82 - feature 201 - ,-6 - 23 - 55 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
9327,location 498,-event_type 35 - event_type 34 - ,-feature 313 - feature 232 - feature 312 - feature 233 - feature 227 - feature 307 - ,-10 - 3 - 3 - 8 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
16352,location 798,-event_type 15 - ,-feature 203 - feature 82 - ,-6 - 6 - ,-resource_type 8 - ,-severity_type 2 - ,2
5997,location 760,-event_type 54 - ,-feature 362 - feature 360 - ,-8 - 8 - ,-resource_type 2 - ,-severity_type 4 - ,0
