11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
353,location 496,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 232 - feature 227 - feature 307 - feature 312 - ,-48 - 54 - 136 - 2 - 8 - 124 - ,-resource_type 2 - ,-severity_type 2 - 
1581,location 9,-event_type 11 - event_type 15 - ,-feature 74 - feature 71 - feature 193 - feature 196 - ,-1 - 2 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
329,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 63 - ,-resource_type 8 - ,-severity_type 2 - 
8745,location 496,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
9355,location 269,-event_type 35 - ,-feature 301 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
14550,location 763,-event_type 15 - ,-feature 193 - feature 203 - feature 82 - feature 71 - ,-1 - 3 - 8 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
5363,location 794,-event_type 11 - event_type 14 - ,-feature 163 - feature 47 - ,-6 - 2 - ,-resource_type 8 - resource_type 4 - ,-severity_type 1 - 
11184,location 763,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-17 - 14 - ,-resource_type 8 - ,-severity_type 1 - 
17886,location 344,-event_type 11 - ,-feature 181 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
16967,location 988,-event_type 15 - event_type 32 - event_type 11 - ,-feature 280 - feature 167 - feature 51 - ,-3 - 5 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
16141,location 1026,-event_type 13 - event_type 11 - ,-feature 273 - feature 170 - feature 54 - ,-1 - 1 - 1 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
11230,location 709,-event_type 11 - ,-feature 73 - feature 195 - ,-6 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
15699,location 657,-event_type 11 - ,-feature 169 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
11045,location 508,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-11 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
4127,location 414,-event_type 20 - event_type 35 - ,-feature 219 - feature 312 - feature 307 - feature 134 - feature 301 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
814,location 1099,-event_type 11 - ,-feature 81 - feature 202 - ,-15 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
12000,location 1107,-event_type 15 - event_type 11 - ,-feature 193 - feature 71 - feature 203 - feature 82 - feature 80 - feature 201 - ,-3 - 3 - 18 - 30 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
15073,location 468,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-16 - 13 - ,-resource_type 2 - ,-severity_type 2 - 
12624,location 1010,-event_type 11 - ,-feature 73 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - 
18450,location 44,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
1049,location 519,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - feature 313 - ,-2 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
18384,location 1086,-event_type 15 - ,-feature 203 - feature 82 - ,-7 - 19 - ,-resource_type 8 - ,-severity_type 2 - 
11007,location 142,-event_type 35 - ,-feature 312 - feature 307 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
233,location 478,-event_type 34 - event_type 35 - ,-feature 308 - feature 232 - feature 314 - feature 228 - feature 234 - feature 309 - feature 229 - feature 312 - ,-1 - 1 - 81 - 1 - 60 - 59 - 45 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
12160,location 322,-event_type 35 - ,-feature 312 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
17732,location 641,-event_type 44 - event_type 42 - ,-feature 291 - feature 283 - feature 368 - feature 376 - ,-3 - 3 - 2 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
5095,location 118,-event_type 11 - event_type 35 - event_type 34 - ,-feature 232 - feature 312 - feature 44 - feature 160 - feature 211 - ,-12 - 14 - 1 - 2 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
2517,location 995,-event_type 11 - event_type 15 - event_type 54 - ,-feature 198 - feature 71 - feature 80 - feature 82 - feature 203 - feature 193 - feature 76 - feature 201 - ,-2 - 4 - 2 - 16 - 3 - 4 - 6 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
6131,location 896,-event_type 11 - ,-feature 166 - feature 50 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
16005,location 763,-event_type 15 - event_type 11 - ,-feature 196 - feature 82 - feature 74 - feature 203 - feature 71 - ,-1 - 24 - 1 - 21 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
520,location 810,-event_type 15 - ,-feature 71 - feature 203 - feature 193 - feature 82 - ,-19 - 2 - 3 - 78 - ,-resource_type 8 - ,-severity_type 2 - 
793,location 1054,-event_type 11 - ,-feature 195 - feature 73 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
15868,location 763,-event_type 15 - ,-feature 82 - feature 203 - ,-11 - 4 - ,-resource_type 8 - ,-severity_type 2 - 
15716,location 1019,-event_type 15 - ,-feature 203 - feature 80 - feature 82 - ,-27 - 2 - 28 - ,-resource_type 8 - ,-severity_type 2 - 
2106,location 34,-event_type 32 - event_type 11 - event_type 20 - event_type 21 - event_type 33 - ,-feature 280 - feature 220 - feature 171 - feature 281 - feature 135 - feature 219 - feature 134 - feature 55 - ,-1 - 1 - 5 - 1 - 1 - 1 - 1 - 5 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
9911,location 1019,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 8 - ,-resource_type 8 - ,-severity_type 2 - 
16744,location 1071,-event_type 15 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
3843,location 145,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 227 - feature 307 - feature 312 - feature 233 - ,-2 - 2 - 2 - 3 - 3 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
17282,location 112,-event_type 34 - event_type 11 - event_type 20 - event_type 35 - ,-feature 134 - feature 181 - feature 232 - feature 219 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
3909,location 490,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13180,location 416,-event_type 34 - event_type 35 - ,-feature 301 - feature 221 - ,-6 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
4398,location 499,-event_type 34 - event_type 35 - ,-feature 232 - feature 233 - feature 313 - feature 235 - feature 315 - feature 312 - ,-52 - 74 - 73 - 48 - 64 - 54 - ,-resource_type 2 - ,-severity_type 2 - 
13117,location 808,-event_type 11 - event_type 15 - ,-feature 52 - feature 193 - feature 168 - feature 71 - ,-28 - 1 - 7 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
3703,location 459,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
3914,location 403,-event_type 20 - event_type 35 - event_type 34 - ,-feature 134 - feature 301 - feature 219 - feature 221 - ,-2 - 2 - 2 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
2559,location 358,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-6 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
3254,location 406,-event_type 35 - ,-feature 314 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
6432,location 244,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-17 - 13 - ,-resource_type 2 - ,-severity_type 2 - 
4945,location 839,-event_type 11 - ,-feature 170 - feature 68 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
126,location 206,-event_type 34 - ,-feature 227 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
12905,location 126,-event_type 12 - event_type 34 - event_type 35 - ,-feature 348 - feature 227 - feature 301 - feature 312 - feature 307 - feature 313 - feature 235 - feature 233 - feature 232 - feature 275 - feature 315 - ,-3 - 7 - 3 - 38 - 10 - 4 - 2 - 4 - 44 - 3 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
13601,location 1106,-event_type 11 - ,-feature 170 - feature 54 - ,-20 - 18 - ,-resource_type 8 - ,-severity_type 1 - 
13394,location 769,-event_type 11 - ,-feature 170 - feature 54 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
3108,location 893,-event_type 43 - event_type 42 - event_type 44 - ,-feature 291 - feature 290 - feature 283 - feature 376 - feature 375 - feature 368 - ,-5 - 1 - 4 - 9 - 8 - 9 - ,-resource_type 2 - ,-severity_type 1 - 
757,location 567,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
1345,location 632,-event_type 11 - ,-feature 182 - feature 204 - feature 155 - ,-1 - 2 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
15200,location 957,-event_type 54 - event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 2 - 
17660,location 126,-event_type 35 - event_type 34 - ,-feature 313 - feature 227 - feature 315 - feature 232 - feature 233 - feature 235 - feature 312 - feature 307 - ,-11 - 3 - 4 - 5 - 11 - 4 - 5 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
13598,location 490,-event_type 34 - event_type 35 - ,-feature 314 - feature 232 - feature 312 - feature 235 - feature 234 - ,-1 - 2 - 3 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
11040,location 309,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
216,location 737,-event_type 11 - ,-feature 42 - feature 157 - ,-4 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
13312,location 945,-event_type 11 - ,-feature 70 - feature 202 - feature 191 - feature 81 - ,-1 - 6 - 1 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
8164,location 12,-event_type 54 - event_type 11 - event_type 15 - ,-feature 172 - feature 56 - feature 188 - feature 66 - ,-2 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
8855,location 13,-event_type 11 - event_type 13 - ,-feature 68 - feature 170 - feature 273 - feature 54 - ,-2 - 1 - 1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
13715,location 1061,-event_type 15 - ,-feature 203 - feature 82 - ,-4 - 8 - ,-resource_type 8 - ,-severity_type 2 - 
18483,location 963,-event_type 11 - ,-feature 195 - feature 109 - feature 73 - ,-36 - 584 - 416 - ,-resource_type 8 - ,-severity_type 1 - 
7238,location 392,-event_type 34 - event_type 11 - ,-feature 160 - feature 181 - feature 44 - feature 211 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 2 - 
6568,location 398,-event_type 34 - event_type 35 - ,-feature 309 - feature 229 - feature 232 - feature 307 - feature 227 - feature 312 - ,-2 - 1 - 2 - 3 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
1608,location 846,-event_type 15 - ,-feature 82 - feature 203 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
10243,location 97,-event_type 34 - event_type 35 - ,-feature 233 - feature 227 - feature 232 - feature 307 - feature 235 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6997,location 810,-event_type 11 - event_type 15 - ,-feature 203 - feature 56 - feature 172 - feature 82 - ,-2 - 1 - 3 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
4529,location 638,-event_type 42 - event_type 44 - ,-feature 376 - feature 368 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 4 - 
770,location 918,-event_type 11 - ,-feature 54 - feature 170 - ,-4 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
8571,location 823,-event_type 15 - ,-feature 71 - feature 193 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
10260,location 979,-event_type 11 - ,-feature 195 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - 
9253,location 814,-event_type 11 - ,-feature 191 - feature 70 - ,-1 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
9934,location 244,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-13 - 14 - ,-resource_type 2 - ,-severity_type 2 - 
8819,location 897,-event_type 47 - event_type 20 - ,-feature 134 - feature 219 - feature 370 - ,-1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
10885,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
16765,location 954,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
17376,location 7,-event_type 11 - ,-feature 202 - feature 81 - feature 70 - ,-4 - 3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
9533,location 878,-event_type 11 - ,-feature 73 - feature 195 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
10521,location 780,-event_type 15 - ,-feature 82 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - 
15258,location 4,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
7171,location 1015,-event_type 11 - ,-feature 170 - feature 103 - feature 54 - ,-16 - 8 - 39 - ,-resource_type 8 - ,-severity_type 1 - 
7164,location 609,-event_type 22 - event_type 11 - ,-feature 78 - feature 305 - ,-1 - 2 - ,-resource_type 8 - resource_type 7 - ,-severity_type 2 - 
6804,location 314,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - ,-1 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
2602,location 172,-event_type 11 - event_type 35 - event_type 34 - ,-feature 61 - feature 232 - feature 181 - feature 307 - feature 312 - feature 227 - ,-1 - 2 - 1 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
15478,location 962,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - ,-4 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
535,location 744,-event_type 11 - event_type 13 - ,-feature 273 - feature 170 - feature 54 - ,-1 - 1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
6077,location 830,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
18303,location 836,-event_type 11 - ,-feature 195 - feature 73 - ,-5 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
9118,location 242,-event_type 34 - event_type 35 - ,-feature 229 - feature 314 - feature 232 - feature 234 - feature 309 - feature 312 - ,-64 - 12 - 44 - 13 - 73 - 43 - ,-resource_type 2 - ,-severity_type 2 - 
18318,location 137,-event_type 35 - event_type 34 - ,-feature 227 - feature 307 - feature 313 - feature 233 - feature 312 - feature 232 - ,-4 - 10 - 8 - 8 - 7 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
6718,location 1118,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
8311,location 12,-event_type 11 - ,-feature 196 - feature 66 - feature 188 - feature 74 - ,-1 - 1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
9828,location 821,-event_type 54 - event_type 11 - event_type 15 - ,-feature 193 - feature 82 - feature 71 - ,-1 - 4 - 6 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
16454,location 162,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - feature 227 - ,-12 - 11 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
14387,location 95,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
11275,location 906,-event_type 54 - ,-feature 362 - feature 360 - ,-1 - 4 - ,-resource_type 2 - ,-severity_type 4 - 
3881,location 102,-event_type 34 - event_type 35 - ,-feature 235 - feature 230 - feature 313 - feature 228 - feature 315 - feature 310 - feature 233 - feature 308 - ,-88 - 5 - 1 - 5 - 94 - 5 - 1 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
11783,location 128,-event_type 34 - event_type 35 - ,-feature 307 - feature 313 - feature 227 - feature 232 - feature 312 - feature 233 - ,-1 - 5 - 1 - 3 - 6 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
6953,location 255,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-11 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
11977,location 723,-event_type 11 - ,-feature 54 - feature 170 - ,-5 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
15813,location 793,-event_type 21 - event_type 11 - ,-feature 195 - feature 135 - feature 73 - ,-4 - 1 - 6 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
754,location 961,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
5244,location 894,-event_type 44 - event_type 43 - event_type 42 - ,-feature 283 - feature 368 - feature 291 - feature 376 - feature 290 - feature 375 - ,-40 - 43 - 43 - 43 - 7 - 39 - ,-resource_type 2 - ,-severity_type 1 - 
2108,location 802,-event_type 13 - event_type 11 - ,-feature 68 - feature 273 - feature 179 - feature 170 - feature 54 - feature 345 - ,-6 - 5 - 3 - 5 - 4 - 3 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
2245,location 282,-event_type 35 - ,-feature 312 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
7152,location 599,-event_type 15 - ,-feature 82 - ,-4 - ,-resource_type 8 - ,-severity_type 2 - 
10566,location 485,-event_type 34 - event_type 35 - ,-feature 314 - feature 232 - feature 312 - feature 235 - ,-1 - 7 - 11 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
3614,location 1049,-event_type 11 - ,-feature 202 - feature 81 - feature 195 - feature 73 - ,-2 - 2 - 17 - 14 - ,-resource_type 8 - ,-severity_type 1 - 
4207,location 826,-event_type 13 - event_type 11 - ,-feature 68 - feature 273 - feature 179 - feature 345 - ,-4 - 1 - 4 - 3 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
1294,location 1026,-event_type 11 - event_type 13 - ,-feature 273 - feature 170 - feature 54 - ,-3 - 5 - 4 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
9610,location 1026,-event_type 13 - ,-feature 273 - feature 345 - ,-2 - 4 - ,-resource_type 6 - ,-severity_type 1 - 
14504,location 465,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-15 - 15 - ,-resource_type 2 - ,-severity_type 2 - 
3900,location 4,-event_type 11 - ,-feature 170 - feature 83 - feature 204 - feature 54 - ,-5 - 2 - 2 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
15207,location 744,-event_type 13 - event_type 11 - ,-feature 345 - feature 273 - feature 170 - feature 54 - ,-1 - 1 - 2 - 3 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - 
12130,location 849,-event_type 11 - ,-feature 73 - feature 195 - feature 109 - ,-59 - 2 - 64 - ,-resource_type 8 - ,-severity_type 1 - 
3194,location 1107,-event_type 15 - event_type 11 - ,-feature 193 - feature 71 - feature 203 - feature 82 - ,-6 - 14 - 23 - 114 - ,-resource_type 8 - ,-severity_type 1 - 
1361,location 118,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-20 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
11102,location 1067,-event_type 11 - ,-feature 54 - ,-2 - ,-resource_type 8 - ,-severity_type 4 - 
5431,location 1052,-event_type 11 - event_type 15 - ,-feature 201 - feature 82 - feature 80 - feature 203 - ,-2 - 20 - 3 - 11 - ,-resource_type 8 - ,-severity_type 1 - 
2160,location 124,-event_type 35 - event_type 34 - ,-feature 313 - feature 235 - feature 312 - feature 232 - feature 233 - feature 315 - ,-3 - 2 - 1 - 1 - 3 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
3124,location 798,-event_type 15 - ,-feature 203 - feature 82 - ,-18 - 26 - ,-resource_type 8 - ,-severity_type 2 - 
7314,location 376,-event_type 34 - event_type 35 - ,-feature 232 - feature 307 - feature 227 - feature 312 - ,-2 - 3 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
4387,location 641,-event_type 44 - event_type 42 - ,-feature 291 - feature 283 - feature 368 - feature 376 - ,-5 - 4 - 6 - 6 - ,-resource_type 2 - ,-severity_type 1 - 
18293,location 477,-event_type 35 - event_type 34 - ,-feature 314 - feature 229 - feature 312 - feature 309 - feature 234 - feature 232 - ,-44 - 20 - 3 - 35 - 41 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
11747,location 122,-event_type 34 - event_type 35 - ,-feature 235 - feature 313 - feature 227 - feature 234 - feature 232 - feature 314 - feature 315 - feature 233 - feature 307 - feature 312 - ,-3 - 10 - 4 - 1 - 8 - 1 - 4 - 9 - 4 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
16372,location 957,-event_type 54 - event_type 11 - ,-feature 191 - feature 70 - ,-9 - 17 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
712,location 749,-event_type 20 - ,-feature 134 - feature 219 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
6905,location 17,-event_type 11 - ,-feature 170 - feature 54 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
8971,location 465,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-12 - 14 - ,-resource_type 2 - ,-severity_type 2 - 
14710,location 810,-event_type 54 - event_type 15 - event_type 11 - ,-feature 203 - feature 71 - feature 82 - feature 193 - ,-1 - 3 - 27 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
18529,location 472,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-3 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
11819,location 944,-event_type 11 - event_type 32 - ,-feature 54 - feature 280 - feature 85 - feature 206 - feature 170 - ,-1 - 22 - 4 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
4317,location 102,-event_type 35 - ,-feature 308 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
18338,location 995,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - feature 82 - feature 203 - ,-13 - 13 - 11 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
3786,location 834,-event_type 8 - event_type 15 - event_type 54 - event_type 11 - ,-feature 193 - feature 203 - feature 71 - feature 82 - ,-2 - 10 - 2 - 28 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
10934,location 1107,-event_type 15 - event_type 11 - ,-feature 203 - feature 71 - feature 82 - feature 193 - ,-7 - 3 - 38 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
18354,location 170,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-4 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
6853,location 451,-event_type 35 - event_type 34 - ,-feature 232 - feature 233 - feature 312 - feature 313 - ,-17 - 9 - 17 - 9 - ,-resource_type 2 - ,-severity_type 2 - 
11337,location 1075,-event_type 15 - ,-feature 82 - feature 203 - ,-20 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
1755,location 95,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-3 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
3673,location 763,-event_type 15 - ,-feature 82 - ,-39 - ,-resource_type 8 - ,-severity_type 2 - 
11094,location 1093,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14184,location 157,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-9 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
16997,location 484,-event_type 34 - event_type 35 - ,-feature 235 - feature 232 - feature 315 - feature 310 - feature 230 - feature 312 - ,-3 - 14 - 1 - 1 - 3 - 18 - ,-resource_type 2 - ,-severity_type 2 - 
730,location 607,-event_type 11 - event_type 23 - ,-feature 306 - feature 78 - ,-1 - 1 - ,-resource_type 7 - resource_type 8 - ,-severity_type 2 - 
17328,location 447,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
1679,location 575,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
13699,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-4 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
13246,location 584,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
7702,location 481,-event_type 34 - event_type 35 - ,-feature 308 - feature 310 - feature 230 - feature 228 - ,-21 - 25 - 24 - 20 - ,-resource_type 2 - ,-severity_type 2 - 
17997,location 460,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-12 - 11 - ,-resource_type 2 - ,-severity_type 2 - 
18074,location 963,-event_type 11 - ,-feature 73 - feature 195 - ,-16 - 14 - ,-resource_type 8 - ,-severity_type 1 - 
9590,location 311,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-4 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
7958,location 212,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
12899,location 378,-event_type 35 - ,-feature 312 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - 
765,location 691,-event_type 22 - event_type 11 - event_type 23 - ,-feature 75 - feature 306 - feature 54 - feature 170 - feature 197 - feature 222 - ,-10 - 10 - 1 - 6 - 8 - 1 - ,-resource_type 7 - resource_type 8 - ,-severity_type 1 - 
77,location 810,-event_type 15 - event_type 54 - ,-feature 82 - feature 71 - ,-11 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
10862,location 314,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - feature 312 - feature 232 - ,-2 - 3 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
7215,location 270,-event_type 34 - event_type 35 - ,-feature 228 - feature 232 - feature 312 - feature 308 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
12146,location 763,-event_type 54 - event_type 15 - event_type 11 - ,-feature 82 - feature 196 - feature 203 - feature 74 - ,-19 - 2 - 4 - 3 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
2813,location 468,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-15 - 13 - ,-resource_type 2 - ,-severity_type 2 - 
12268,location 925,-event_type 11 - ,-feature 54 - feature 182 - feature 170 - feature 62 - ,-5 - 1 - 5 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
12910,location 976,-event_type 15 - ,-feature 203 - feature 82 - ,-21 - 28 - ,-resource_type 8 - ,-severity_type 2 - 
10393,location 684,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-33 - 49 - ,-resource_type 8 - ,-severity_type 1 - 
2643,location 804,-event_type 20 - ,-feature 134 - feature 219 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
17295,location 477,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-22 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
13720,location 903,-event_type 11 - ,-feature 170 - ,-3 - ,-resource_type 8 - ,-severity_type 1 - 
3856,location 938,-event_type 11 - ,-feature 202 - feature 191 - feature 81 - ,-2 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
